vehicle_id,bin_id,area,timestamp,route_sequence,distance_km,fuel_consumption_liters,route_efficiency_score
VH004,KUK_001,Kukatpally,2025-08-02,4,3.59,0.9,85.99
VH001,KUK_001,Kukatpally,2024-04-11,1,8.44,2.11,70.69
VH004,KUK_001,Kukatpally,2024-09-26,1,2.45,0.61,89.58
VH001,KUK_001,Kukatpally,2024-03-05,4,13.82,3.46,53.72
VH004,KUK_001,Kukatpally,2025-07-15,1,5.36,1.34,80.4
VH001,KUK_001,Kukatpally,2024-10-04,1,10.61,2.65,63.84
VH004,KUK_001,Kukatpally,2025-05-04,1,6.05,1.51,78.22
VH002,KUK_001,Kukatpally,2024-12-01,5,8.76,2.19,69.68
VH002,KUK_001,Kukatpally,2025-09-23,4,9.11,2.28,68.58
VH003,KUK_001,Kukatpally,2025-05-25,5,4.4,1.1,83.43
VH004,KUK_001,Kukatpally,2025-08-29,2,14.6,3.65,51.26
VH003,KUK_001,Kukatpally,2024-11-07,4,12.08,3.02,59.21
VH004,KUK_001,Kukatpally,2024-02-20,2,14.21,3.55,52.49
VH003,KUK_001,Kukatpally,2024-07-03,3,13.63,3.41,54.32
VH003,KUK_001,Kukatpally,2024-01-01,2,9.77,2.44,66.49
VH002,KUK_001,Kukatpally,2024-07-08,3,13.98,3.5,53.21
VH002,KUK_001,Kukatpally,2026-08-30,4,3.15,0.79,87.37
VH001,KUK_001,Kukatpally,2024-07-06,4,4.55,1.14,82.96
VH004,KUK_001,Kukatpally,2026-02-18,2,2.59,0.65,89.14
VH002,KUK_001,Kukatpally,2025-01-11,1,6.23,1.56,77.66
VH002,KUK_001,Kukatpally,2026-12-11,3,7.05,1.76,75.07
VH002,KUK_001,Kukatpally,2026-08-13,2,5.53,1.38,79.87
VH003,KUK_001,Kukatpally,2024-07-03,1,12.77,3.19,57.03
VH003,KUK_001,Kukatpally,2026-03-31,3,6.64,1.66,76.37
VH003,KUK_001,Kukatpally,2024-08-23,1,5.65,1.41,79.49
VH002,KUK_001,Kukatpally,2024-03-14,3,9.06,2.26,68.74
VH001,KUK_001,Kukatpally,2026-12-13,5,3.83,0.96,85.23
VH001,KUK_001,Kukatpally,2025-07-01,5,12.43,3.11,58.11
VH004,KUK_001,Kukatpally,2026-12-26,3,2.97,0.74,87.94
VH002,KUK_001,Kukatpally,2026-02-10,4,14.83,3.71,50.54
VH003,KUK_001,Kukatpally,2026-04-21,3,12.04,3.01,59.34
VH004,KUK_001,Kukatpally,2025-07-23,3,4.58,1.14,82.86
VH001,KUK_001,Kukatpally,2025-11-09,1,2.07,0.52,90.78
VH003,KUK_001,Kukatpally,2026-08-02,5,12.6,3.15,57.57
VH004,KUK_001,Kukatpally,2026-01-20,3,11.19,2.8,62.02
VH004,KUK_001,Kukatpally,2024-03-25,4,11.48,2.87,61.1
VH004,KUK_001,Kukatpally,2024-06-16,1,12.03,3.01,59.37
VH003,KUK_001,Kukatpally,2025-11-24,5,2.96,0.74,87.97
VH002,KUK_001,Kukatpally,2024-06-14,3,6.66,1.66,76.3
VH003,KUK_001,Kukatpally,2024-11-01,1,3.51,0.88,86.24
VH004,KUK_001,Kukatpally,2026-12-28,3,13.22,3.3,55.61
VH003,KUK_001,Kukatpally,2025-07-03,1,10.1,2.52,65.45
VH001,KUK_001,Kukatpally,2025-06-20,5,6.3,1.58,77.44
VH001,KUK_001,Kukatpally,2024-12-07,3,2.83,0.71,88.39
VH004,KUK_001,Kukatpally,2026-05-07,4,6.04,1.51,78.26
VH004,KUK_001,Kukatpally,2024-05-12,2,6.23,1.56,77.66
VH004,KUK_001,Kukatpally,2024-01-20,2,11.48,2.87,61.1
VH001,KUK_001,Kukatpally,2024-07-11,3,10.29,2.57,64.86
VH002,KUK_001,Kukatpally,2024-09-22,3,13.53,3.38,54.63
VH004,KUK_001,Kukatpally,2025-06-20,5,8.14,2.04,71.64
VH004,KUK_001,Kukatpally,2024-09-12,4,3.55,0.89,86.11
VH004,KUK_001,Kukatpally,2026-10-27,5,11.27,2.82,61.76
VH002,KUK_001,Kukatpally,2024-12-10,3,11.89,2.97,59.81
VH003,KUK_001,Kukatpally,2025-10-30,2,9.3,2.33,67.98
VH004,KUK_001,Kukatpally,2026-11-18,1,12.02,3.0,59.4
VH001,KUK_001,Kukatpally,2025-04-24,3,8.42,2.1,70.75
VH001,KUK_001,Kukatpally,2026-07-10,5,8.8,2.2,69.56
VH003,KUK_001,Kukatpally,2025-10-25,2,7.56,1.89,73.47
VH004,KUK_001,Kukatpally,2024-08-12,2,2.33,0.58,89.96
VH002,KUK_001,Kukatpally,2026-03-07,3,3.4,0.85,86.58
VH002,KUK_002,Kukatpally,2024-01-17,2,2.41,0.6,89.71
VH004,KUK_002,Kukatpally,2026-11-24,3,10.27,2.57,64.91
VH003,KUK_002,Kukatpally,2025-05-02,5,6.09,1.52,78.1
VH002,KUK_002,Kukatpally,2024-11-20,3,8.61,2.15,70.15
VH003,KUK_002,Kukatpally,2025-04-12,5,13.8,3.45,53.79
VH001,KUK_002,Kukatpally,2024-06-09,4,5.24,1.31,80.78
VH002,KUK_002,Kukatpally,2024-08-08,1,7.33,1.83,74.18
VH002,KUK_002,Kukatpally,2025-01-23,1,11.82,2.96,60.03
VH003,KUK_002,Kukatpally,2025-08-15,2,4.97,1.24,81.63
VH004,KUK_002,Kukatpally,2025-01-25,2,3.0,0.75,87.85
VH003,KUK_002,Kukatpally,2024-08-11,1,5.77,1.44,79.11
VH003,KUK_002,Kukatpally,2024-01-07,3,4.1,1.02,84.38
VH003,KUK_002,Kukatpally,2025-11-17,4,14.09,3.52,52.87
VH003,KUK_002,Kukatpally,2025-06-08,3,12.51,3.13,57.86
VH001,KUK_002,Kukatpally,2026-05-04,3,10.23,2.56,65.04
VH001,KUK_002,Kukatpally,2026-08-27,4,13.33,3.33,55.27
VH001,KUK_002,Kukatpally,2024-06-15,3,12.45,3.11,58.04
VH003,KUK_002,Kukatpally,2024-02-07,3,4.43,1.11,83.34
VH002,KUK_002,Kukatpally,2024-07-02,5,13.6,3.4,54.41
VH002,KUK_002,Kukatpally,2025-03-10,5,9.01,2.25,68.89
VH004,KUK_002,Kukatpally,2024-06-11,1,12.5,3.12,57.89
VH003,KUK_002,Kukatpally,2026-11-12,2,13.65,3.41,54.26
VH003,KUK_002,Kukatpally,2025-06-01,3,6.13,1.53,77.97
VH003,KUK_002,Kukatpally,2025-08-03,5,3.43,0.86,86.49
VH001,KUK_002,Kukatpally,2025-11-21,5,4.96,1.24,81.66
VH001,KUK_002,Kukatpally,2025-02-06,4,7.55,1.89,73.49
VH001,KUK_002,Kukatpally,2025-05-04,2,12.63,3.16,57.47
VH001,KUK_002,Kukatpally,2025-08-17,5,13.19,3.3,55.71
VH004,KUK_002,Kukatpally,2024-06-14,5,2.09,0.52,90.72
VH001,KUK_002,Kukatpally,2024-05-03,3,8.64,2.16,70.06
VH003,KUK_002,Kukatpally,2026-10-06,3,7.43,1.86,73.88
VH001,KUK_002,Kukatpally,2026-12-19,1,4.89,1.22,81.89
VH001,KUK_002,Kukatpally,2025-06-12,1,3.56,0.89,86.08
VH004,KUK_002,Kukatpally,2024-02-28,3,6.39,1.6,77.16
VH001,KUK_002,Kukatpally,2025-04-06,1,14.26,3.56,52.34
VH002,KUK_002,Kukatpally,2024-09-13,3,6.2,1.55,77.75
VH004,KUK_002,Kukatpally,2024-08-03,5,8.74,2.18,69.74
VH002,KUK_002,Kukatpally,2025-01-30,2,11.14,2.78,62.17
VH003,KUK_002,Kukatpally,2026-02-16,1,6.73,1.68,76.09
VH001,KUK_002,Kukatpally,2026-07-04,4,14.63,3.66,51.16
VH002,KUK_002,Kukatpally,2026-05-24,3,14.51,3.63,51.54
VH001,KUK_002,Kukatpally,2024-04-26,5,5.27,1.32,80.68
VH001,KUK_002,Kukatpally,2024-07-29,4,8.46,2.12,70.62
VH004,KUK_002,Kukatpally,2024-04-20,4,5.91,1.48,78.67
VH004,KUK_002,Kukatpally,2024-06-03,4,5.7,1.42,79.33
VH004,KUK_002,Kukatpally,2026-05-22,3,2.48,0.62,89.49
VH002,KUK_002,Kukatpally,2026-01-22,3,9.92,2.48,66.02
VH004,KUK_002,Kukatpally,2024-03-08,2,8.53,2.13,70.4
VH003,KUK_002,Kukatpally,2024-08-26,4,2.67,0.67,88.89
VH004,KUK_002,Kukatpally,2026-01-17,5,5.62,1.4,79.58
VH004,KUK_002,Kukatpally,2025-06-19,2,13.81,3.45,53.76
VH001,KUK_002,Kukatpally,2025-07-21,1,5.11,1.28,81.19
VH004,KUK_002,Kukatpally,2024-06-11,2,3.88,0.97,85.07
VH004,KUK_002,Kukatpally,2024-11-10,5,8.36,2.09,70.94
VH001,KUK_002,Kukatpally,2025-03-25,3,14.81,3.7,50.6
VH002,KUK_002,Kukatpally,2024-07-12,5,5.15,1.29,81.07
VH002,KUK_002,Kukatpally,2025-09-24,2,10.74,2.68,63.44
VH001,KUK_002,Kukatpally,2024-02-23,5,11.9,2.98,59.78
VH002,KUK_002,Kukatpally,2026-02-06,5,5.09,1.27,81.26
VH004,KUK_002,Kukatpally,2025-04-16,5,11.47,2.87,61.14
VH003,KUK_002,Kukatpally,2024-10-04,2,6.78,1.7,75.92
VH002,KUK_002,Kukatpally,2025-09-04,4,10.22,2.56,65.08
VH001,KUK_002,Kukatpally,2026-06-14,4,10.24,2.56,65.02
VH001,KUK_002,Kukatpally,2026-03-08,2,8.97,2.24,69.02
VH002,KUK_002,Kukatpally,2024-12-06,4,3.17,0.79,87.31
VH004,KUK_002,Kukatpally,2024-03-09,4,12.86,3.22,56.75
VH004,KUK_002,Kukatpally,2025-10-27,5,6.17,1.54,77.85
VH004,KUK_002,Kukatpally,2025-05-09,1,4.42,1.1,83.36
VH002,KUK_002,Kukatpally,2024-06-08,2,2.53,0.63,89.33
VH003,KUK_002,Kukatpally,2026-04-06,2,9.68,2.42,66.78
VH003,KUK_002,Kukatpally,2024-11-16,1,10.81,2.7,63.22
VH001,KUK_002,Kukatpally,2026-02-21,3,2.22,0.56,90.31
VH002,KUK_002,Kukatpally,2024-09-18,5,8.66,2.16,70.0
VH002,KUK_002,Kukatpally,2024-11-08,1,4.94,1.24,81.72
VH004,KUK_002,Kukatpally,2026-11-09,4,10.39,2.6,64.54
VH003,KUK_002,Kukatpally,2024-07-10,3,4.27,1.07,83.84
VH001,KUK_002,Kukatpally,2025-12-04,1,10.98,2.74,62.68
VH001,KUK_002,Kukatpally,2025-10-10,2,7.03,1.76,75.14
VH003,KUK_002,Kukatpally,2026-12-11,4,14.18,3.54,52.59
VH004,KUK_002,Kukatpally,2024-01-01,5,3.79,0.95,85.36
VH001,KUK_002,Kukatpally,2025-10-18,2,6.43,1.61,77.02
VH004,KUK_002,Kukatpally,2024-10-15,1,3.48,0.87,86.34
VH002,KUK_002,Kukatpally,2024-08-24,4,14.02,3.5,53.09
VH001,KUK_002,Kukatpally,2026-05-24,3,13.41,3.35,55.02
VH001,KUK_002,Kukatpally,2026-03-13,5,5.35,1.34,80.43
VH003,KUK_002,Kukatpally,2025-03-25,1,10.58,2.64,63.94
VH003,KUK_002,Kukatpally,2026-06-24,3,12.62,3.16,57.5
VH001,KUK_002,Kukatpally,2026-04-20,1,9.22,2.31,68.23
VH004,KUK_002,Kukatpally,2026-08-07,4,8.89,2.22,69.28
VH004,KUK_002,Kukatpally,2024-04-21,4,5.14,1.28,81.09
VH002,KUK_002,Kukatpally,2026-04-15,4,3.21,0.8,87.18
VH002,KUK_002,Kukatpally,2026-11-17,5,13.66,3.42,54.22
VH002,KUK_002,Kukatpally,2026-02-17,3,13.71,3.43,54.07
VH004,KUK_002,Kukatpally,2025-10-01,1,10.23,2.56,65.04
VH004,KUK_002,Kukatpally,2026-11-22,2,6.41,1.6,77.09
VH001,KUK_002,Kukatpally,2024-02-16,2,6.54,1.64,76.68
VH002,KUK_002,Kukatpally,2026-12-21,5,11.44,2.86,61.23
VH003,KUK_002,Kukatpally,2024-11-30,3,13.66,3.42,54.22
VH002,KUK_002,Kukatpally,2025-08-23,3,13.53,3.38,54.63
VH002,KUK_002,Kukatpally,2026-08-18,3,12.14,3.04,59.02
VH001,KUK_003,Kukatpally,2024-06-03,4,10.35,2.59,64.67
VH003,KUK_003,Kukatpally,2025-08-26,4,3.09,0.77,87.56
VH001,KUK_003,Kukatpally,2024-03-09,5,4.1,1.02,84.38
VH003,KUK_003,Kukatpally,2024-08-23,3,13.68,3.42,54.16
VH003,KUK_003,Kukatpally,2025-09-26,1,9.88,2.47,66.14
VH003,KUK_003,Kukatpally,2025-08-29,5,2.12,0.53,90.62
VH004,KUK_003,Kukatpally,2025-04-17,4,3.32,0.83,86.84
VH002,KUK_003,Kukatpally,2025-11-27,5,10.63,2.66,63.79
VH002,KUK_003,Kukatpally,2025-03-10,5,2.07,0.52,90.78
VH001,KUK_003,Kukatpally,2025-12-01,5,4.09,1.02,84.41
VH004,KUK_003,Kukatpally,2024-01-11,4,9.13,2.28,68.51
VH001,KUK_003,Kukatpally,2026-05-21,5,10.99,2.75,62.64
VH001,KUK_003,Kukatpally,2024-03-11,4,10.48,2.62,64.26
VH003,KUK_003,Kukatpally,2026-03-12,3,4.92,1.23,81.8
VH002,KUK_003,Kukatpally,2026-02-02,3,11.26,2.82,61.8
VH001,KUK_003,Kukatpally,2026-08-27,3,5.08,1.27,81.28
VH001,KUK_003,Kukatpally,2025-08-26,2,6.23,1.56,77.66
VH003,KUK_003,Kukatpally,2026-12-30,2,11.7,2.92,60.4
VH001,KUK_003,Kukatpally,2024-03-13,2,10.45,2.61,64.36
VH002,KUK_003,Kukatpally,2025-03-09,4,13.04,3.26,56.18
VH004,KUK_003,Kukatpally,2024-01-02,5,10.55,2.64,64.04
VH004,KUK_003,Kukatpally,2025-10-19,1,9.39,2.35,67.7
VH002,KUK_003,Kukatpally,2024-10-29,4,3.22,0.8,87.15
VH002,KUK_003,Kukatpally,2026-07-24,4,6.78,1.7,75.92
VH002,KUK_003,Kukatpally,2024-04-26,5,5.45,1.36,80.12
VH001,KUK_003,Kukatpally,2026-07-03,2,5.17,1.29,81.0
VH004,KUK_003,Kukatpally,2024-01-10,2,14.65,3.66,51.1
VH003,KUK_003,Kukatpally,2026-06-21,4,7.11,1.78,74.88
VH004,KUK_003,Kukatpally,2026-08-26,2,13.6,3.4,54.42
VH001,KUK_003,Kukatpally,2026-11-04,5,10.2,2.55,65.13
VH004,KUK_003,Kukatpally,2024-01-16,4,12.33,3.08,58.42
VH002,KUK_003,Kukatpally,2026-03-15,4,8.53,2.13,70.4
VH002,KUK_003,Kukatpally,2024-12-29,3,9.5,2.38,67.35
VH003,KUK_003,Kukatpally,2026-08-04,5,8.4,2.1,70.81
VH002,KUK_003,Kukatpally,2026-08-24,4,4.54,1.14,82.99
VH001,KUK_003,Kukatpally,2025-09-17,5,11.39,2.85,61.38
VH003,KUK_003,Kukatpally,2025-04-08,4,5.65,1.41,79.49
VH002,KUK_003,Kukatpally,2024-08-14,3,2.32,0.58,90.0
VH002,KUK_003,Kukatpally,2024-04-08,2,10.39,2.6,64.54
VH004,KUK_003,Kukatpally,2025-06-20,5,4.3,1.08,83.74
VH001,KUK_003,Kukatpally,2025-10-14,5,14.23,3.56,52.43
VH001,KUK_003,Kukatpally,2026-08-26,3,14.4,3.6,51.89
VH004,KUK_003,Kukatpally,2024-10-31,4,13.89,3.47,53.5
VH001,KUK_003,Kukatpally,2024-12-17,4,6.81,1.7,75.83
VH001,KUK_003,Kukatpally,2024-11-12,5,2.2,0.55,90.37
VH004,KUK_003,Kukatpally,2024-06-14,5,14.07,3.52,52.94
VH002,KUK_003,Kukatpally,2024-01-15,3,7.57,1.89,73.44
VH001,KUK_003,Kukatpally,2025-12-08,3,14.57,3.64,51.36
VH003,KUK_003,Kukatpally,2026-08-13,2,14.53,3.63,51.49
VH004,KUK_003,Kukatpally,2025-05-21,4,13.09,3.27,56.02
VH001,KUK_003,Kukatpally,2024-05-07,5,5.83,1.46,78.92
VH002,KUK_003,Kukatpally,2026-07-26,3,7.01,1.75,75.2
VH001,KUK_003,Kukatpally,2026-07-02,4,13.06,3.26,56.11
VH001,KUK_003,Kukatpally,2025-10-14,5,6.12,1.53,78.01
VH001,KUK_003,Kukatpally,2024-03-09,2,4.2,1.05,84.06
VH002,KUK_003,Kukatpally,2026-04-16,3,9.24,2.31,68.17
VH003,KUK_003,Kukatpally,2024-01-15,3,14.17,3.54,52.62
VH002,KUK_003,Kukatpally,2025-06-06,2,11.05,2.76,62.46
VH001,KUK_003,Kukatpally,2024-04-05,1,9.41,2.35,67.63
VH003,KUK_003,Kukatpally,2026-11-15,3,3.26,0.82,87.02
VH004,KUK_003,Kukatpally,2025-12-21,1,10.0,2.5,65.77
VH001,KUK_003,Kukatpally,2025-03-26,5,14.87,3.72,50.41
VH003,KUK_003,Kukatpally,2025-05-23,4,3.82,0.96,85.26
VH002,KUK_003,Kukatpally,2025-10-16,3,8.74,2.18,69.75
VH004,KUK_003,Kukatpally,2026-08-11,1,13.41,3.35,55.02
VH004,KUK_003,Kukatpally,2026-12-02,1,11.63,2.91,60.63
VH002,KUK_003,Kukatpally,2024-02-15,4,11.06,2.76,62.42
VH004,KUK_003,Kukatpally,2026-05-30,3,11.13,2.78,62.2
VH004,KUK_003,Kukatpally,2026-12-07,1,6.67,1.67,76.27
VH001,KUK_003,Kukatpally,2024-08-16,1,5.82,1.46,78.96
VH003,KUK_003,Kukatpally,2024-12-30,1,12.52,3.13,57.82
VH004,KUK_003,Kukatpally,2025-07-12,3,12.53,3.13,57.79
VH004,KUK_003,Kukatpally,2024-11-15,4,13.27,3.32,55.45
VH002,KUK_003,Kukatpally,2025-07-17,4,13.87,3.47,53.56
VH004,KUK_003,Kukatpally,2026-09-02,3,8.65,2.16,70.03
VH004,KUK_003,Kukatpally,2026-12-13,2,8.52,2.13,70.44
VH003,KUK_003,Kukatpally,2024-01-08,3,12.38,3.1,58.27
VH004,KUK_003,Kukatpally,2024-05-26,1,10.45,2.61,64.35
VH004,KUK_003,Kukatpally,2026-01-30,3,11.13,2.78,62.21
VH004,KUK_003,Kukatpally,2025-06-20,3,12.35,3.09,58.36
VH002,KUK_003,Kukatpally,2025-12-12,4,13.57,3.39,54.51
VH004,KUK_003,Kukatpally,2026-08-28,2,6.39,1.6,77.15
VH002,KUK_003,Kukatpally,2024-01-27,5,6.88,1.72,75.61
VH002,KUK_003,Kukatpally,2024-06-04,5,3.22,0.8,87.15
VH004,KUK_003,Kukatpally,2025-01-02,2,9.52,2.38,67.29
VH002,KUK_003,Kukatpally,2026-06-29,5,2.47,0.62,89.52
VH001,KUK_003,Kukatpally,2026-09-17,5,8.05,2.01,71.92
VH002,KUK_003,Kukatpally,2025-12-28,1,9.05,2.26,68.76
VH002,KUK_003,Kukatpally,2024-10-29,3,5.73,1.43,79.24
VH002,KUK_003,Kukatpally,2025-09-19,1,9.68,2.42,66.78
VH003,KUK_003,Kukatpally,2024-03-18,4,2.4,0.6,89.74
VH001,KUK_003,Kukatpally,2025-09-30,1,2.49,0.62,89.46
VH001,KUK_003,Kukatpally,2025-11-26,2,12.69,3.17,57.28
VH003,KUK_003,Kukatpally,2024-11-16,1,6.68,1.67,76.24
VH003,KUK_003,Kukatpally,2026-03-09,1,3.65,0.91,85.79
VH002,KUK_003,Kukatpally,2026-02-06,1,8.79,2.2,69.59
VH002,KUK_003,Kukatpally,2025-04-04,2,12.01,3.0,59.43
VH001,KUK_003,Kukatpally,2026-09-15,4,4.81,1.2,82.14
VH001,KUK_003,Kukatpally,2024-05-12,1,10.1,2.52,65.46
VH002,KUK_003,Kukatpally,2024-08-09,5,3.11,0.78,87.5
VH001,KUK_004,Kukatpally,2024-05-26,5,2.67,0.67,88.88
VH002,KUK_004,Kukatpally,2024-01-05,4,8.91,2.23,69.21
VH001,KUK_004,Kukatpally,2025-07-11,2,9.03,2.26,68.83
VH003,KUK_004,Kukatpally,2025-12-24,5,10.29,2.57,64.86
VH002,KUK_004,Kukatpally,2026-05-27,2,11.44,2.86,61.23
VH003,KUK_004,Kukatpally,2026-04-25,1,14.69,3.67,50.98
VH004,KUK_004,Kukatpally,2024-06-09,5,8.71,2.18,69.84
VH004,KUK_004,Kukatpally,2024-10-15,4,6.2,1.55,77.76
VH002,KUK_004,Kukatpally,2024-01-13,1,12.34,3.08,58.39
VH004,KUK_004,Kukatpally,2026-06-11,2,5.52,1.38,79.9
VH002,KUK_004,Kukatpally,2026-03-20,3,7.71,1.93,73.0
VH004,KUK_004,Kukatpally,2026-11-29,2,3.02,0.76,87.78
VH002,KUK_004,Kukatpally,2025-07-25,4,2.33,0.58,89.96
VH004,KUK_004,Kukatpally,2026-11-12,3,14.51,3.63,51.54
VH004,KUK_004,Kukatpally,2025-01-02,2,12.87,3.22,56.72
VH003,KUK_004,Kukatpally,2026-05-27,2,11.05,2.76,62.46
VH003,KUK_004,Kukatpally,2025-10-26,4,7.32,1.83,74.23
VH004,KUK_004,Kukatpally,2024-05-13,5,4.25,1.06,83.9
VH003,KUK_004,Kukatpally,2024-04-12,3,4.03,1.01,84.59
VH002,KUK_004,Kukatpally,2026-07-14,1,5.25,1.31,80.75
VH001,KUK_004,Kukatpally,2026-08-07,5,9.14,2.28,68.48
VH003,KUK_004,Kukatpally,2026-01-01,1,11.29,2.82,61.7
VH001,KUK_004,Kukatpally,2026-02-14,5,10.58,2.64,63.94
VH004,KUK_004,Kukatpally,2025-12-04,1,5.64,1.41,79.52
VH002,KUK_004,Kukatpally,2025-01-07,4,14.41,3.6,51.86
VH003,KUK_004,Kukatpally,2024-06-20,2,11.59,2.9,60.75
VH003,KUK_004,Kukatpally,2025-01-21,2,9.21,2.3,68.26
VH003,KUK_004,Kukatpally,2025-03-15,5,9.95,2.49,65.92
VH004,KUK_004,Kukatpally,2024-01-18,1,7.45,1.86,73.81
VH001,KUK_004,Kukatpally,2025-06-23,5,5.22,1.3,80.84
VH002,KUK_004,Kukatpally,2024-09-12,1,6.63,1.66,76.4
VH003,KUK_004,Kukatpally,2024-07-13,4,11.85,2.96,59.93
VH001,KUK_004,Kukatpally,2025-04-01,2,2.19,0.55,90.4
VH004,KUK_004,Kukatpally,2024-04-21,5,3.51,0.88,86.24
VH004,KUK_004,Kukatpally,2026-04-14,5,2.6,0.65,89.11
VH001,KUK_004,Kukatpally,2026-08-31,5,2.53,0.63,89.33
VH003,KUK_004,Kukatpally,2024-12-17,3,13.12,3.28,55.93
VH001,KUK_004,Kukatpally,2025-05-12,3,11.15,2.79,62.15
VH002,KUK_004,Kukatpally,2024-02-17,5,8.16,2.04,71.57
VH001,KUK_004,Kukatpally,2024-06-01,1,3.27,0.82,86.99
VH002,KUK_004,Kukatpally,2025-01-22,4,8.39,2.1,70.85
VH004,KUK_004,Kukatpally,2024-11-19,2,8.16,2.04,71.58
VH002,KUK_004,Kukatpally,2026-10-06,2,4.25,1.06,83.9
VH001,KUK_004,Kukatpally,2024-01-24,5,7.64,1.91,73.21
VH003,KUK_004,Kukatpally,2024-07-22,5,7.18,1.8,74.66
VH003,KUK_004,Kukatpally,2026-04-20,2,10.01,2.5,65.74
VH004,KUK_004,Kukatpally,2024-02-11,3,10.26,2.56,64.95
VH004,KUK_004,Kukatpally,2024-10-22,5,2.59,0.65,89.14
VH003,KUK_004,Kukatpally,2025-07-07,1,6.87,1.72,75.64
VH002,KUK_004,Kukatpally,2026-08-04,2,10.14,2.54,65.33
VH004,KUK_004,Kukatpally,2026-06-14,5,8.54,2.13,70.37
VH001,KUK_004,Kukatpally,2025-02-13,2,13.13,3.28,55.89
VH004,KUK_004,Kukatpally,2024-08-05,5,10.56,2.64,64.0
VH004,KUK_004,Kukatpally,2024-09-10,1,4.12,1.03,84.32
VH004,KUK_004,Kukatpally,2025-07-17,5,2.92,0.73,88.1
VH004,KUK_004,Kukatpally,2024-10-26,1,10.35,2.59,64.66
VH001,KUK_004,Kukatpally,2024-06-18,2,2.34,0.58,89.92
VH001,KUK_004,Kukatpally,2024-02-12,1,9.62,2.4,66.97
VH001,KUK_004,Kukatpally,2025-03-04,4,14.22,3.56,52.46
VH001,KUK_004,Kukatpally,2025-06-27,5,9.48,2.37,67.41
VH004,KUK_004,Kukatpally,2025-04-18,4,7.05,1.76,75.08
VH004,KUK_004,Kukatpally,2026-10-26,4,10.36,2.59,64.63
VH004,KUK_004,Kukatpally,2024-04-25,4,7.96,1.99,72.21
VH001,KUK_004,Kukatpally,2024-02-20,4,9.09,2.27,68.64
VH003,KUK_004,Kukatpally,2024-04-04,1,14.24,3.56,52.4
